,name,price,top_prize,remaining_top_prizes,chances_to_win,game_start_date,last_date_to_claim,probability,prize_amount,prize_start_num,prize_remaining_num
67,Bonus Bucks,10.0,100000.0,7,20,08/21/2023,,3.27,20.0,189367,150023
68,Bonus Bucks,10.0,100000.0,7,20,08/21/2023,,3.27,15.0,189426,150261
69,Bonus Bucks,10.0,100000.0,7,20,08/21/2023,,3.27,10.0,315828,250437
70,Ravens X2,2.0,20000.0,5,10,08/21/2023,,4.04,20000.0,7,5
71,Ravens X2,2.0,20000.0,5,10,08/21/2023,,4.04,5000.0,5,4
72,Ravens X2,2.0,20000.0,5,10,08/21/2023,,4.04,1000.0,15,12
73,Ravens X2,2.0,20000.0,5,10,08/21/2023,,4.04,500.0,214,161
74,Ravens X2,2.0,20000.0,5,10,08/21/2023,,4.04,100.0,1442,1110
75,Ravens X2,2.0,20000.0,5,10,08/21/2023,,4.04,50.0,4763,3657
76,Ravens X2,2.0,20000.0,5,10,08/21/2023,,4.04,20.0,40697,31283
77,Ravens X2,2.0,20000.0,5,10,08/21/2023,,4.04,10.0,63127,48832
78,Ravens X2,2.0,20000.0,5,10,08/21/2023,,4.04,5.0,117794,91794
79,Ravens X2,2.0,20000.0,5,10,08/21/2023,,4.04,3.0,231108,181355
80,Ravens X2,2.0,20000.0,5,10,08/21/2023,,4.04,2.0,321074,252857
81,Ravens X5,5.0,100000.0,6,15,08/21/2023,,3.82,100000.0,7,6
82,Ravens X5,5.0,100000.0,6,15,08/21/2023,,3.82,10000.0,15,11
83,Ravens X5,5.0,100000.0,6,15,08/21/2023,,3.82,1000.0,38,32
84,Ravens X5,5.0,100000.0,6,15,08/21/2023,,3.82,500.0,365,286
85,Ravens X5,5.0,100000.0,6,15,08/21/2023,,3.82,100.0,13259,10379
86,Ravens X5,5.0,100000.0,6,15,08/21/2023,,3.82,50.0,84611,66364
87,Ravens X5,5.0,100000.0,6,15,08/21/2023,,3.82,25.0,114090,89834
88,Ravens X5,5.0,100000.0,6,15,08/21/2023,,3.82,10.0,425945,336906
89,Ravens X5,5.0,100000.0,6,15,08/21/2023,,3.82,5.0,567411,450632
90,$1 Million Royale,20.0,1000000.0,6,32,07/17/2023,,3.04,1000000.0,7,6
91,$1 Million Royale,20.0,1000000.0,6,32,07/17/2023,,3.04,50000.0,7,5
92,$1 Million Royale,20.0,1000000.0,6,32,07/17/2023,,3.04,10000.0,84,69
93,$1 Million Royale,20.0,1000000.0,6,32,07/17/2023,,3.04,5000.0,112,88
